2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-01-14	00:00	2016-01-15	00:00	Makar Sankranti
2016-01-15	00:00	2016-01-16	00:00	Pongal
2016-01-16	00:00	2016-01-17	00:00	Guru Govind Singh Jayanti
2016-01-26	00:00	2016-01-27	00:00	Republic Day
2016-02-12	00:00	2016-02-13	00:00	Vasant Panchami
2016-02-19	00:00	2016-02-20	00:00	Shivaji Jayanti
2016-02-22	00:00	2016-02-23	00:00	Guru Ravidas Jayanti
2016-03-04	00:00	2016-03-05	00:00	Maharishi Dayanand Saraswati Jayanti
2016-03-07	00:00	2016-03-08	00:00	Maha Shivaratri/Shivaratri
2016-03-23	00:00	2016-03-24	00:00	Holika Dahana
2016-03-24	00:00	2016-03-25	00:00	Dolyatra
2016-03-25	00:00	2016-03-26	00:00	Good Friday
2016-03-27	00:00	2016-03-28	00:00	Easter Day
2016-04-08	00:00	2016-04-09	00:00	Chaitra Sukhladi
2016-04-13	00:00	2016-04-14	00:00	Vaisakhi
2016-04-14	00:00	2016-04-15	00:00	Ambedkar Jayanti
2016-04-14	00:00	2016-04-15	00:00	Mesadi/Vaisakhadi
2016-04-15	00:00	2016-04-16	00:00	Rama Navami
2016-04-20	00:00	2016-04-21	00:00	Mahavir Jayanti
2016-04-21	00:00	2016-04-22	00:00	Hazarat Ali's Birthday
2016-05-08	00:00	2016-05-09	00:00	Birthday of Ravindranath
2016-05-21	00:00	2016-05-22	00:00	Buddha Purnima/Vesak
2016-07-01	00:00	2016-07-02	00:00	Jamat Ul-Vida
2016-07-06	00:00	2016-07-07	00:00	Rath Yatra
2016-07-08	00:00	2016-07-09	00:00	Ramzan Id/Eid-ul-Fitar
2016-08-15	00:00	2016-08-16	00:00	Independence Day
2016-08-17	00:00	2016-08-18	00:00	Parsi New Year
2016-08-18	00:00	2016-08-19	00:00	Raksha Bandhan (Rakhi)
2016-08-25	00:00	2016-08-26	00:00	Janmashtami
2016-09-05	00:00	2016-09-06	00:00	Ganesh Chaturthi/Vinayaka Chaturthi
2016-09-12	00:00	2016-09-13	00:00	Bakr Id/Eid ul-Adha
2016-09-14	00:00	2016-09-15	00:00	Onam
2016-10-02	00:00	2016-10-03	00:00	Mahatma Gandhi Jayanti
2016-10-11	00:00	2016-10-12	00:00	Dussehra (Maha Navami)
2016-10-12	00:00	2016-10-13	00:00	Muharram/Ashura
2016-10-16	00:00	2016-10-17	00:00	Maharishi Valmiki Jayanti
2016-10-19	00:00	2016-10-20	00:00	Karaka Chaturthi (Karva Chauth)
2016-10-29	00:00	2016-10-30	00:00	Naraka Chaturdasi
2016-10-30	00:00	2016-10-31	00:00	Diwali/Deepavali
2016-10-31	00:00	2016-11-01	00:00	Govardhan Puja
2016-11-01	00:00	2016-11-02	00:00	Bhai Duj
2016-11-06	00:00	2016-11-07	00:00	Chhat Puja (Pratihar Sashthi/Surya Sashthi)
2016-11-24	00:00	2016-11-25	00:00	Guru Tegh Bahadur's Martyrdom Day
2016-12-13	00:00	2016-12-14	00:00	Milad un-Nabi/Id-e-Milad
2016-12-24	00:00	2016-12-25	00:00	Christmas Eve
2016-12-25	00:00	2016-12-26	00:00	Christmas
