2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-03-17	00:00	2016-03-18	00:00	St. Patrick's Day
2016-03-25	00:00	2016-03-26	00:00	Good Friday
2016-03-27	00:00	2016-03-28	00:00	Easter
2016-03-28	00:00	2016-03-29	00:00	Easter Monday
2016-05-02	00:00	2016-05-03	00:00	May Day
2016-06-06	00:00	2016-06-07	00:00	June Bank Holiday
2016-08-01	00:00	2016-08-02	00:00	August Bank Holiday
2016-10-31	00:00	2016-11-01	00:00	October Bank Holiday
2016-12-24	00:00	2016-12-25	00:00	Christmas Eve
2016-12-25	00:00	2016-12-26	00:00	Christmas Day
2016-12-26	00:00	2016-12-27	00:00	St. Stephen's Day
2016-12-27	00:00	2016-12-28	00:00	Christmas Day observed
2016-12-31	00:00	2017-01-01	00:00	New Year's Eve
2017-01-01	00:00	2017-01-02	00:00	New Year's Day
2017-03-17	00:00	2017-03-18	00:00	St. Patrick's Day
2017-04-14	00:00	2017-04-15	00:00	Good Friday
2017-04-16	00:00	2017-04-17	00:00	Easter
2017-04-17	00:00	2017-04-18	00:00	Easter Monday
2017-05-01	00:00	2017-05-02	00:00	May Day
2017-06-05	00:00	2017-06-06	00:00	June Bank Holiday
2017-08-07	00:00	2017-08-08	00:00	August Bank Holiday
2017-10-30	00:00	2017-10-31	00:00	October Bank Holiday
2017-12-24	00:00	2017-12-25	00:00	Christmas Eve
2017-12-25	00:00	2017-12-26	00:00	Christmas Day
2017-12-26	00:00	2017-12-27	00:00	St. Stephen's Day
2017-12-31	00:00	2018-01-01	00:00	New Year's Eve
2018-01-01	00:00	2018-01-02	00:00	New Year's Day
