2016-03-24	00:00	2016-03-25	00:00	Purim (Tel Aviv)
2016-03-25	00:00	2016-03-26	00:00	Shushan Purim (Jerusalem)
2016-04-23	00:00	2016-04-24	00:00	Pesach I (First day of Passover)
2016-04-24	00:00	2016-04-25	00:00	Pesach II (Passover)
2016-04-25	00:00	2016-04-26	00:00	Pesach III (Passover)
2016-04-26	00:00	2016-04-27	00:00	Pesach IV (Passover)
2016-04-27	00:00	2016-04-28	00:00	Pesach V (Passover)
2016-04-28	00:00	2016-04-29	00:00	Pesach VI (Passover)
2016-04-29	00:00	2016-04-30	00:00	Pesach VII (Last day of Passover)
2016-05-04	00:00	2016-05-05	00:00	Yom HaShoah/Holocaust Memorial Day
2016-05-11	00:00	2016-05-12	00:00	Yom HaZikaron (Memorial Day)
2016-05-12	00:00	2016-05-13	00:00	Yom HaAtzmaut (Independence Day)
2016-06-05	00:00	2016-06-06	00:00	Yom Yerushalayim (Jerusalem Day)
2016-06-12	00:00	2016-06-13	00:00	Shavuot (Pentecost)
2016-08-14	00:00	2016-08-15	00:00	Tisha B'Av
2016-10-03	00:00	2016-10-04	00:00	Rosh Hashana (New Year)
2016-10-04	00:00	2016-10-05	00:00	Rosh Hashana II (New Year day 2)
2016-10-12	00:00	2016-10-13	00:00	Yom Kippur
2016-10-17	00:00	2016-10-18	00:00	Sukkot I
2016-10-18	00:00	2016-10-19	00:00	Sukkot II
2016-10-19	00:00	2016-10-20	00:00	Sukkot III
2016-10-20	00:00	2016-10-21	00:00	Sukkot IV
2016-10-21	00:00	2016-10-22	00:00	Sukkot V
2016-10-22	00:00	2016-10-23	00:00	Sukkot VI
2016-10-23	00:00	2016-10-24	00:00	Sukkot VII/Hoshanah Rabah
2016-10-24	00:00	2016-10-25	00:00	Shmini Atzeret/Simchat Torah
2016-12-25	00:00	2016-12-26	00:00	Hanukkah I (Holiday of lights)
2016-12-26	00:00	2016-12-27	00:00	Hanukkah II
2016-12-27	00:00	2016-12-28	00:00	Hanukkah III
2016-12-28	00:00	2016-12-29	00:00	Hanukkah IV
2016-12-29	00:00	2016-12-30	00:00	Hanukkah V
2016-12-30	00:00	2016-12-31	00:00	Hanukkah VI/Rosh Chodesh Tevet
2016-12-31	00:00	2017-01-01	00:00	Hanukkah VII
2017-01-01	00:00	2017-01-02	00:00	Hanukkah VIII
2017-03-12	00:00	2017-03-13	00:00	Purim (Tel Aviv)
2017-03-13	00:00	2017-03-14	00:00	Shushan Purim (Jerusalem)
2017-04-11	00:00	2017-04-12	00:00	Pesach I (First day of Passover)
2017-04-12	00:00	2017-04-13	00:00	Pesach II (Passover)
2017-04-13	00:00	2017-04-14	00:00	Pesach III (Passover)
2017-04-14	00:00	2017-04-15	00:00	Pesach IV (Passover)
2017-04-15	00:00	2017-04-16	00:00	Pesach V (Passover)
2017-04-16	00:00	2017-04-17	00:00	Pesach VI (Passover)
2017-04-17	00:00	2017-04-18	00:00	Pesach VII (Last day of Passover)
2017-04-24	00:00	2017-04-25	00:00	Yom HaShoah/Holocaust Memorial Day
2017-05-01	00:00	2017-05-02	00:00	Yom HaZikaron (Memorial Day)
2017-05-02	00:00	2017-05-03	00:00	Yom HaAtzmaut (Independence Day)
2017-05-24	00:00	2017-05-25	00:00	Yom Yerushalayim (Jerusalem Day)
2017-05-31	00:00	2017-06-01	00:00	Shavuot (Pentecost)
2017-08-01	00:00	2017-08-02	00:00	Tisha B'Av
2017-09-21	00:00	2017-09-22	00:00	Rosh Hashana (New Year)
2017-09-22	00:00	2017-09-23	00:00	Rosh Hashana II (New Year day 2)
2017-09-30	00:00	2017-10-01	00:00	Yom Kippur
2017-10-05	00:00	2017-10-06	00:00	Sukkot I
2017-10-06	00:00	2017-10-07	00:00	Sukkot II
2017-10-07	00:00	2017-10-08	00:00	Sukkot III
2017-10-08	00:00	2017-10-09	00:00	Sukkot IV
2017-10-09	00:00	2017-10-10	00:00	Sukkot V
2017-10-10	00:00	2017-10-11	00:00	Sukkot VI
2017-10-11	00:00	2017-10-12	00:00	Sukkot VII/Hoshanah Rabah
2017-10-12	00:00	2017-10-13	00:00	Shmini Atzeret/Simchat Torah
2017-12-13	00:00	2017-12-14	00:00	Hanukkah I (Holiday of lights)
2017-12-14	00:00	2017-12-15	00:00	Hanukkah II
2017-12-15	00:00	2017-12-16	00:00	Hanukkah III
2017-12-16	00:00	2017-12-17	00:00	Hanukkah IV
2017-12-17	00:00	2017-12-18	00:00	Hanukkah V
2017-12-18	00:00	2017-12-19	00:00	Hanukkah VI/Rosh Chodesh Tevet
2017-12-19	00:00	2017-12-20	00:00	Hanukkah VII
2017-12-20	00:00	2017-12-21	00:00	Hanukkah VIII
