2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-01-11	00:00	2016-01-12	00:00	Coming of Age Day
2016-02-11	00:00	2016-02-12	00:00	National Foundation Day
2016-03-20	00:00	2016-03-21	00:00	Spring Equinox
2016-03-21	00:00	2016-03-22	00:00	Spring Equinox observed
2016-04-29	00:00	2016-04-30	00:00	Shōwa Day
2016-05-03	00:00	2016-05-04	00:00	Constitution Memorial Day
2016-05-04	00:00	2016-05-05	00:00	Greenery Day
2016-05-05	00:00	2016-05-06	00:00	Children's Day
2016-07-18	00:00	2016-07-19	00:00	Sea Day
2016-08-11	00:00	2016-08-12	00:00	Mountain Day
2016-09-19	00:00	2016-09-20	00:00	Respect for the Aged Day
2016-09-22	00:00	2016-09-23	00:00	Autumn Equinox
2016-10-10	00:00	2016-10-11	00:00	Sports Day
2016-11-03	00:00	2016-11-04	00:00	Culture Day
2016-11-23	00:00	2016-11-24	00:00	Labor Thanksgiving Day
2016-12-23	00:00	2016-12-24	00:00	Emperor's Birthday
2017-01-01	00:00	2017-01-02	00:00	New Year's Day
2017-01-02	00:00	2017-01-03	00:00	New Year's Day observed
2017-01-09	00:00	2017-01-10	00:00	Coming of Age Day
2017-02-11	00:00	2017-02-12	00:00	National Foundation Day
2017-03-20	00:00	2017-03-21	00:00	Spring Equinox
2017-04-29	00:00	2017-04-30	00:00	Shōwa Day
2017-05-03	00:00	2017-05-04	00:00	Constitution Memorial Day
2017-05-04	00:00	2017-05-05	00:00	Greenery Day
2017-05-05	00:00	2017-05-06	00:00	Children's Day
2017-07-17	00:00	2017-07-18	00:00	Sea Day
2017-08-11	00:00	2017-08-12	00:00	Mountain Day
2017-09-18	00:00	2017-09-19	00:00	Respect for the Aged Day
2017-09-23	00:00	2017-09-24	00:00	Autumn Equinox
2017-10-09	00:00	2017-10-10	00:00	Sports Day
2017-11-03	00:00	2017-11-04	00:00	Culture Day
2017-11-23	00:00	2017-11-24	00:00	Labor Thanksgiving Day
2017-12-23	00:00	2017-12-24	00:00	Emperor's Birthday
2018-01-01	00:00	2018-01-02	00:00	New Year's Day
