2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-02-14	00:00	2016-02-15	00:00	Valentine's Day
2016-03-25	00:00	2016-03-26	00:00	Good Friday
2016-03-26	00:00	2016-03-27	00:00	Holy Saturday
2016-03-27	00:00	2016-03-28	00:00	Easter Sunday
2016-03-27	00:00	2016-03-28	00:00	Daylight Saving Time starts
2016-03-28	00:00	2016-03-29	00:00	Easter Monday
2016-05-01	00:00	2016-05-02	00:00	Labour Day/May Day
2016-05-04	00:00	2016-05-05	00:00	Independence Restoration Day
2016-05-08	00:00	2016-05-09	00:00	Mothers' Day
2016-05-15	00:00	2016-05-16	00:00	Whitsunday
2016-06-23	00:00	2016-06-24	00:00	Midsummer Eve
2016-06-24	00:00	2016-06-25	00:00	Midsummer Day
2016-09-11	00:00	2016-09-12	00:00	Fathers' Day
2016-10-30	00:00	2016-10-31	00:00	Daylight Saving Time ends
2016-10-31	00:00	2016-11-01	00:00	Halloween
2016-11-18	00:00	2016-11-19	00:00	Republic of Latvia Proclamation Day
2016-12-24	00:00	2016-12-25	00:00	Christmas Eve
2016-12-25	00:00	2016-12-26	00:00	Christmas Day
2016-12-26	00:00	2016-12-27	00:00	Second Day of Christmas
2016-12-31	00:00	2017-01-01	00:00	New Year's Eve
2017-01-01	00:00	2017-01-02	00:00	New Year's Day
2017-02-14	00:00	2017-02-15	00:00	Valentine's Day
2017-03-26	00:00	2017-03-27	00:00	Daylight Saving Time starts
2017-04-14	00:00	2017-04-15	00:00	Good Friday
2017-04-15	00:00	2017-04-16	00:00	Holy Saturday
2017-04-16	00:00	2017-04-17	00:00	Easter Sunday
2017-04-17	00:00	2017-04-18	00:00	Easter Monday
2017-05-01	00:00	2017-05-02	00:00	Labour Day/May Day
2017-05-04	00:00	2017-05-05	00:00	Independence Restoration Day
2017-05-14	00:00	2017-05-15	00:00	Mothers' Day
2017-06-04	00:00	2017-06-05	00:00	Whitsunday
2017-06-23	00:00	2017-06-24	00:00	Midsummer Eve
2017-06-24	00:00	2017-06-25	00:00	Midsummer Day
2017-09-10	00:00	2017-09-11	00:00	Fathers' Day
2017-10-29	00:00	2017-10-30	00:00	Daylight Saving Time ends
2017-10-31	00:00	2017-11-01	00:00	Halloween
2017-11-18	00:00	2017-11-19	00:00	Republic of Latvia Proclamation Day
2017-12-24	00:00	2017-12-25	00:00	Christmas Eve
2017-12-25	00:00	2017-12-26	00:00	Christmas Day
2017-12-26	00:00	2017-12-27	00:00	Second Day of Christmas
2017-12-31	00:00	2018-01-01	00:00	New Year's Eve
2018-01-01	00:00	2018-01-02	00:00	New Year's Day
