2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-02-10	00:00	2016-02-11	00:00	Feast of Saint Paul's Shipwreck
2016-03-19	00:00	2016-03-20	00:00	Feast of Saint Joseph
2016-03-25	00:00	2016-03-26	00:00	Good Friday
2016-03-27	00:00	2016-03-28	00:00	Easter Sunday
2016-03-31	00:00	2016-04-01	00:00	Freedom Day
2016-05-01	00:00	2016-05-02	00:00	Labour Day/May Day
2016-06-07	00:00	2016-06-08	00:00	Sette Giugno
2016-06-29	00:00	2016-06-30	00:00	Feast of Saints Peter and Paul
2016-08-15	00:00	2016-08-16	00:00	The Feast of Mary's Assumption
2016-09-08	00:00	2016-09-09	00:00	The Feast of Our Lady of Victories
2016-09-21	00:00	2016-09-22	00:00	Independence Day
2016-12-08	00:00	2016-12-09	00:00	Feast of the Immaculate Conception
2016-12-13	00:00	2016-12-14	00:00	Republic Day
2016-12-24	00:00	2016-12-25	00:00	Christmas Eve
2016-12-25	00:00	2016-12-26	00:00	Christmas Day
2016-12-31	00:00	2017-01-01	00:00	New Year's Eve
2017-01-01	00:00	2017-01-02	00:00	New Year's Day
2017-02-10	00:00	2017-02-11	00:00	Feast of Saint Paul's Shipwreck
2017-03-19	00:00	2017-03-20	00:00	Feast of Saint Joseph
2017-03-31	00:00	2017-04-01	00:00	Freedom Day
2017-04-14	00:00	2017-04-15	00:00	Good Friday
2017-04-16	00:00	2017-04-17	00:00	Easter Sunday
2017-05-01	00:00	2017-05-02	00:00	Labour Day/May Day
2017-06-07	00:00	2017-06-08	00:00	Sette Giugno
2017-06-29	00:00	2017-06-30	00:00	Feast of Saints Peter and Paul
2017-08-15	00:00	2017-08-16	00:00	The Feast of Mary's Assumption
2017-09-08	00:00	2017-09-09	00:00	The Feast of Our Lady of Victories
2017-09-21	00:00	2017-09-22	00:00	Independence Day
2017-12-08	00:00	2017-12-09	00:00	Feast of the Immaculate Conception
2017-12-13	00:00	2017-12-14	00:00	Republic Day
2017-12-24	00:00	2017-12-25	00:00	Christmas Eve
2017-12-25	00:00	2017-12-26	00:00	Christmas Day
2017-12-31	00:00	2018-01-01	00:00	New Year's Eve
2018-01-01	00:00	2018-01-02	00:00	New Year's Day
