2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-03-25	00:00	2016-03-26	00:00	Good Friday
2016-03-27	00:00	2016-03-28	00:00	Easter Day
2016-03-28	00:00	2016-03-29	00:00	Easter Monday
2016-04-27	00:00	2016-04-28	00:00	King's Birthday
2016-05-05	00:00	2016-05-06	00:00	Ascension Day
2016-05-05	00:00	2016-05-06	00:00	Liberation Day
2016-05-15	00:00	2016-05-16	00:00	Whit Sunday
2016-05-16	00:00	2016-05-17	00:00	Whit Monday
2016-12-05	00:00	2016-12-06	00:00	St Nicholas' Eve/Sinterklaas
2016-12-24	00:00	2016-12-25	00:00	Christmas Eve
2016-12-25	00:00	2016-12-26	00:00	Christmas Day
2016-12-26	00:00	2016-12-27	00:00	Second Day of Christmas
2016-12-31	00:00	2017-01-01	00:00	New Year's Eve
2017-01-01	00:00	2017-01-02	00:00	New Year's Day
2017-04-14	00:00	2017-04-15	00:00	Good Friday
2017-04-16	00:00	2017-04-17	00:00	Easter Day
2017-04-17	00:00	2017-04-18	00:00	Easter Monday
2017-04-27	00:00	2017-04-28	00:00	King's Birthday
2017-05-05	00:00	2017-05-06	00:00	Liberation Day
2017-05-25	00:00	2017-05-26	00:00	Ascension Day
2017-06-04	00:00	2017-06-05	00:00	Whit Sunday
2017-06-05	00:00	2017-06-06	00:00	Whit Monday
2017-12-05	00:00	2017-12-06	00:00	St Nicholas' Eve/Sinterklaas
2017-12-24	00:00	2017-12-25	00:00	Christmas Eve
2017-12-25	00:00	2017-12-26	00:00	Christmas Day
2017-12-26	00:00	2017-12-27	00:00	Second Day of Christmas
2017-12-31	00:00	2018-01-01	00:00	New Year's Eve
2018-01-01	00:00	2018-01-02	00:00	New Year's Day
