2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-01-06	00:00	2016-01-07	00:00	Epiphany
2016-02-14	00:00	2016-02-15	00:00	Valentine's Day
2016-03-25	00:00	2016-03-26	00:00	Good Friday
2016-03-26	00:00	2016-03-27	00:00	Holy Saturday
2016-03-27	00:00	2016-03-28	00:00	Easter Day
2016-03-28	00:00	2016-03-29	00:00	Easter Monday
2016-05-01	00:00	2016-05-02	00:00	Labor Day / May Day
2016-05-03	00:00	2016-05-04	00:00	Constitution Day
2016-05-15	00:00	2016-05-16	00:00	Whit Sunday
2016-05-26	00:00	2016-05-27	00:00	Corpus Christi
2016-05-26	00:00	2016-05-27	00:00	Mother's Day
2016-06-23	00:00	2016-06-24	00:00	Father's Day
2016-08-15	00:00	2016-08-16	00:00	Assumption of Mary
2016-11-01	00:00	2016-11-02	00:00	All Saints' Day
2016-11-11	00:00	2016-11-12	00:00	Independence Day
2016-12-24	00:00	2016-12-25	00:00	Christmas Eve
2016-12-25	00:00	2016-12-26	00:00	Christmas Day
2016-12-26	00:00	2016-12-27	00:00	Second Day of Christmas
2016-12-31	00:00	2017-01-01	00:00	New Year's Eve
2017-01-01	00:00	2017-01-02	00:00	New Year's Day
2017-01-06	00:00	2017-01-07	00:00	Epiphany
2017-02-14	00:00	2017-02-15	00:00	Valentine's Day
2017-04-14	00:00	2017-04-15	00:00	Good Friday
2017-04-15	00:00	2017-04-16	00:00	Holy Saturday
2017-04-16	00:00	2017-04-17	00:00	Easter Day
2017-04-17	00:00	2017-04-18	00:00	Easter Monday
2017-05-01	00:00	2017-05-02	00:00	Labor Day / May Day
2017-05-03	00:00	2017-05-04	00:00	Constitution Day
2017-05-26	00:00	2017-05-27	00:00	Mother's Day
2017-06-04	00:00	2017-06-05	00:00	Whit Sunday
2017-06-15	00:00	2017-06-16	00:00	Corpus Christi
2017-06-23	00:00	2017-06-24	00:00	Father's Day
2017-08-15	00:00	2017-08-16	00:00	Assumption of Mary
2017-11-01	00:00	2017-11-02	00:00	All Saints' Day
2017-11-11	00:00	2017-11-12	00:00	Independence Day
2017-12-24	00:00	2017-12-25	00:00	Christmas Eve
2017-12-25	00:00	2017-12-26	00:00	Christmas Day
2017-12-26	00:00	2017-12-27	00:00	Second Day of Christmas
2017-12-31	00:00	2018-01-01	00:00	New Year's Eve
2018-01-01	00:00	2018-01-02	00:00	New Year's Day
