2016-01-01	00:00	2016-01-02	00:00	Republic Day
2016-01-06	00:00	2016-01-07	00:00	Epiphany
2016-03-25	00:00	2016-03-26	00:00	Good Friday
2016-03-27	00:00	2016-03-28	00:00	Easter Day
2016-03-28	00:00	2016-03-29	00:00	Easter Monday
2016-05-01	00:00	2016-05-02	00:00	Labor Day
2016-05-08	00:00	2016-05-09	00:00	End of World War II
2016-07-05	00:00	2016-07-06	00:00	St. Cyril & St. Methodius Day
2016-08-29	00:00	2016-08-30	00:00	National Uprising Day
2016-09-01	00:00	2016-09-02	00:00	Constitution Day
2016-09-15	00:00	2016-09-16	00:00	Day of Our Lady of Sorrows
2016-11-01	00:00	2016-11-02	00:00	All Saints' Day
2016-11-17	00:00	2016-11-18	00:00	Fight for Freedom and Democracy Day
2016-12-24	00:00	2016-12-25	00:00	Christmas Eve
2016-12-25	00:00	2016-12-26	00:00	Christmas Day
2016-12-26	00:00	2016-12-27	00:00	St. Stephen's Day
2017-01-01	00:00	2017-01-02	00:00	Republic Day
2017-01-06	00:00	2017-01-07	00:00	Epiphany
2017-04-14	00:00	2017-04-15	00:00	Good Friday
2017-04-16	00:00	2017-04-17	00:00	Easter Day
2017-04-17	00:00	2017-04-18	00:00	Easter Monday
2017-05-01	00:00	2017-05-02	00:00	Labor Day
2017-05-08	00:00	2017-05-09	00:00	End of World War II
2017-07-05	00:00	2017-07-06	00:00	St. Cyril & St. Methodius Day
2017-08-29	00:00	2017-08-30	00:00	National Uprising Day
2017-09-01	00:00	2017-09-02	00:00	Constitution Day
2017-09-15	00:00	2017-09-16	00:00	Day of Our Lady of Sorrows
2017-11-01	00:00	2017-11-02	00:00	All Saints' Day
2017-11-17	00:00	2017-11-18	00:00	Fight for Freedom and Democracy Day
2017-12-24	00:00	2017-12-25	00:00	Christmas Eve
2017-12-25	00:00	2017-12-26	00:00	Christmas Day
2017-12-26	00:00	2017-12-27	00:00	St. Stephen's Day
2018-01-01	00:00	2018-01-02	00:00	Republic Day
