2016-01-01	00:00	2016-01-02	00:00	Republic Day/New Year's Day
2016-02-04	00:00	2016-02-05	00:00	Farmer's Day
2016-02-07	00:00	2016-02-08	00:00	Chinese New Year's Eve
2016-02-08	00:00	2016-02-09	00:00	Chinese New Year's Day
2016-02-09	00:00	2016-02-10	00:00	Chinese New Year Holiday 1
2016-02-10	00:00	2016-02-11	00:00	Chinese New Year Holiday 2
2016-02-11	00:00	2016-02-12	00:00	Chinese New Year Holiday 3
2016-02-12	00:00	2016-02-13	00:00	Chinese New Year Holiday 4
2016-02-22	00:00	2016-02-23	00:00	Lantern Festival
2016-02-28	00:00	2016-02-29	00:00	228 Memorial Day
2016-02-29	00:00	2016-03-01	00:00	228 Memorial Day observed
2016-03-08	00:00	2016-03-09	00:00	Women's Day
2016-03-29	00:00	2016-03-30	00:00	Youth Day
2016-04-04	00:00	2016-04-05	00:00	Children's Day
2016-04-05	00:00	2016-04-06	00:00	Tomb Sweeping Day
2016-05-01	00:00	2016-05-02	00:00	Labor Day
2016-05-02	00:00	2016-05-03	00:00	Labor Day observed
2016-06-09	00:00	2016-06-10	00:00	Dragon Boat Festival
2016-06-10	00:00	2016-06-11	00:00	Dragon Boat Festival holiday
2016-08-17	00:00	2016-08-18	00:00	Ghost Festival
2016-09-03	00:00	2016-09-04	00:00	Armed Forces Day
2016-09-15	00:00	2016-09-16	00:00	Mid-Autumn Festival
2016-09-28	00:00	2016-09-29	00:00	Teachers' Day
2016-10-09	00:00	2016-10-10	00:00	Double Ninth Day
2016-10-10	00:00	2016-10-11	00:00	National Day/Double Tenth Day
2016-10-25	00:00	2016-10-26	00:00	Taiwan's Retrocession Day
2016-12-25	00:00	2016-12-26	00:00	Constitution Day
2017-01-01	00:00	2017-01-02	00:00	Republic Day/New Year's Day
2017-01-02	00:00	2017-01-03	00:00	Republic Day/New Year's Day observed
2017-01-27	00:00	2017-01-28	00:00	Chinese New Year's Eve
2017-01-28	00:00	2017-01-29	00:00	Chinese New Year's Day
2017-01-29	00:00	2017-01-30	00:00	Chinese New Year Holiday 1
2017-01-30	00:00	2017-01-31	00:00	Chinese New Year Holiday 2
2017-01-31	00:00	2017-02-01	00:00	Chinese New Year Holiday 3
2017-02-01	00:00	2017-02-02	00:00	Chinese New Year Holiday 4
2017-02-04	00:00	2017-02-05	00:00	Farmer's Day
2017-02-11	00:00	2017-02-12	00:00	Lantern Festival
2017-02-28	00:00	2017-03-01	00:00	228 Memorial Day
2017-03-08	00:00	2017-03-09	00:00	Women's Day
2017-03-29	00:00	2017-03-30	00:00	Youth Day
2017-04-04	00:00	2017-04-05	00:00	Children's Day
2017-04-05	00:00	2017-04-06	00:00	Tomb Sweeping Day
2017-05-01	00:00	2017-05-02	00:00	Labor Day
2017-05-30	00:00	2017-05-31	00:00	Dragon Boat Festival
2017-09-03	00:00	2017-09-04	00:00	Armed Forces Day
2017-09-05	00:00	2017-09-06	00:00	Ghost Festival
2017-09-28	00:00	2017-09-29	00:00	Teachers' Day
2017-10-04	00:00	2017-10-05	00:00	Mid-Autumn Festival
2017-10-10	00:00	2017-10-11	00:00	National Day/Double Tenth Day
2017-10-25	00:00	2017-10-26	00:00	Taiwan's Retrocession Day
2017-10-28	00:00	2017-10-29	00:00	Double Ninth Day
2017-12-25	00:00	2017-12-26	00:00	Constitution Day
2018-01-01	00:00	2018-01-02	00:00	Republic Day/New Year's Day
