2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-01-07	00:00	2016-01-08	00:00	Christmas Day
2016-01-08	00:00	2016-01-09	00:00	Christmas Day holiday
2016-01-14	00:00	2016-01-15	00:00	Orthodox New Year
2016-01-16	00:00	2016-01-17	00:00	Special Working Day
2016-01-22	00:00	2016-01-23	00:00	Ukrainian Unity Day
2016-01-25	00:00	2016-01-26	00:00	Tatiana Day
2016-02-14	00:00	2016-02-15	00:00	Valentine's Day
2016-02-23	00:00	2016-02-24	00:00	Men's Day
2016-03-08	00:00	2016-03-09	00:00	International Women's Day
2016-03-27	00:00	2016-03-28	00:00	Daylight Saving Time starts
2016-04-01	00:00	2016-04-02	00:00	April Fools
2016-05-01	00:00	2016-05-02	00:00	Orthodox Easter Day
2016-05-02	00:00	2016-05-03	00:00	Labor Day
2016-05-02	00:00	2016-05-03	00:00	Orthodox Easter Day holiday
2016-05-03	00:00	2016-05-04	00:00	Labor Day Holiday
2016-05-08	00:00	2016-05-09	00:00	Mother's Day
2016-05-09	00:00	2016-05-10	00:00	Victory Day / Memorial Day
2016-05-21	00:00	2016-05-22	00:00	Europe Day
2016-05-22	00:00	2016-05-23	00:00	Cultural Workers and Folk Artists Day
2016-05-29	00:00	2016-05-30	00:00	Kiev Day
2016-06-19	00:00	2016-06-20	00:00	Orthodox Pentecost
2016-06-20	00:00	2016-06-21	00:00	Orthodox Pentecost holiday
2016-06-28	00:00	2016-06-29	00:00	Constitution Day
2016-07-07	00:00	2016-07-08	00:00	Kupala Night
2016-07-08	00:00	2016-07-09	00:00	Family Day
2016-07-28	00:00	2016-07-29	00:00	Baptism of Kyivan Rus
2016-07-31	00:00	2016-08-01	00:00	Navy Day
2016-08-24	00:00	2016-08-25	00:00	Independence Day
2016-10-02	00:00	2016-10-03	00:00	Teacher's Day
2016-10-14	00:00	2016-10-15	00:00	Defenders' Day
2016-10-30	00:00	2016-10-31	00:00	Daylight Saving Time ends
2016-11-21	00:00	2016-11-22	00:00	Dignity and Freedom Day
2016-12-06	00:00	2016-12-07	00:00	Army Day
