2016-01-01	00:00	2016-01-02	00:00	New Year's Day
2016-01-18	00:00	2016-01-19	00:00	Martin Luther King Day
2016-02-14	00:00	2016-02-15	00:00	Valentine's Day
2016-02-15	00:00	2016-02-16	00:00	Presidents' Day
2016-03-13	00:00	2016-03-14	00:00	Daylight Saving Time starts
2016-03-27	00:00	2016-03-28	00:00	Easter Sunday
2016-04-13	00:00	2016-04-14	00:00	Thomas Jefferson's Birthday
2016-05-08	00:00	2016-05-09	00:00	Mother's Day
2016-05-30	00:00	2016-05-31	00:00	Memorial Day
2016-06-19	00:00	2016-06-20	00:00	Father's Day
2016-07-04	00:00	2016-07-05	00:00	Independence Day
2016-09-05	00:00	2016-09-06	00:00	Labor Day
2016-10-10	00:00	2016-10-11	00:00	Columbus Day (regional holiday)
2016-10-31	00:00	2016-11-01	00:00	Halloween
2016-11-06	00:00	2016-11-07	00:00	Daylight Saving Time ends
2016-11-08	00:00	2016-11-09	00:00	Election Day
2016-11-11	00:00	2016-11-12	00:00	Veterans Day
2016-11-24	00:00	2016-11-25	00:00	Thanksgiving Day
2016-12-24	00:00	2016-12-25	00:00	Christmas Eve
2016-12-25	00:00	2016-12-26	00:00	Christmas Day
2016-12-26	00:00	2016-12-27	00:00	Christmas Day observed
2016-12-31	00:00	2017-01-01	00:00	New Year's Eve
2017-01-01	00:00	2017-01-02	00:00	New Year's Day
2017-01-02	00:00	2017-01-03	00:00	New Year's Day observed
2017-01-16	00:00	2017-01-17	00:00	Martin Luther King Day
2017-02-14	00:00	2017-02-15	00:00	Valentine's Day
2017-02-20	00:00	2017-02-21	00:00	Presidents' Day
2017-03-12	00:00	2017-03-13	00:00	Daylight Saving Time starts
2017-04-13	00:00	2017-04-14	00:00	Thomas Jefferson's Birthday
2017-04-16	00:00	2017-04-17	00:00	Easter Sunday
2017-05-14	00:00	2017-05-15	00:00	Mother's Day
2017-05-29	00:00	2017-05-30	00:00	Memorial Day
2017-06-18	00:00	2017-06-19	00:00	Father's Day
2017-07-04	00:00	2017-07-05	00:00	Independence Day
2017-09-04	00:00	2017-09-05	00:00	Labor Day
2017-10-09	00:00	2017-10-10	00:00	Columbus Day (regional holiday)
2017-10-31	00:00	2017-11-01	00:00	Halloween
2017-11-05	00:00	2017-11-06	00:00	Daylight Saving Time ends
2017-11-11	00:00	2017-11-12	00:00	Veterans Day
2017-11-23	00:00	2017-11-24	00:00	Thanksgiving Day
2017-12-24	00:00	2017-12-25	00:00	Christmas Eve
2017-12-25	00:00	2017-12-26	00:00	Christmas Day
2017-12-31	00:00	2018-01-01	00:00	New Year's Eve
2018-01-01	00:00	2018-01-02	00:00	New Year's Day
